"module name","license","repository"
"@babel/helper-string-parser@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.28.5","MIT","https://github.com/babel/babel"
"@babel/parser@7.28.5","MIT","https://github.com/babel/babel"
"@babel/types@7.28.5","MIT","https://github.com/babel/babel"
"@ctrl/tinycolor@3.6.1","MIT","https://github.com/scttcper/tinycolor"
"@electron/get@2.0.3","MIT","https://github.com/electron/get"
"@electron/remote@2.1.3","MIT","https://github.com/electron/remote"
"@element-plus/icons-vue@2.3.2","MIT","https://github.com/element-plus/element-plus-icons"
"@floating-ui/core@1.7.3","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/dom@1.7.4","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/utils@0.2.10","MIT","https://github.com/floating-ui/floating-ui"
"@img/colour@1.0.0","MIT","https://github.com/lovell/colour"
"@img/sharp-darwin-arm64@0.34.4","Apache-2.0","https://github.com/lovell/sharp"
"@img/sharp-libvips-darwin-arm64@1.2.3","LGPL-3.0-or-later","https://github.com/lovell/sharp-libvips"
"@jridgewell/sourcemap-codec@1.5.5","MIT","https://github.com/jridgewell/sourcemaps"
"@pixiv/three-vrm-animation@3.4.4","MIT","https://github.com/pixiv/three-vrm"
"@pixiv/three-vrm-core@3.4.4","MIT","https://github.com/pixiv/three-vrm"
"@pixiv/three-vrm-materials-hdr-emissive-multiplier@3.4.4","MIT","https://github.com/pixiv/three-vrm"
"@pixiv/three-vrm-materials-mtoon@3.4.4","MIT","https://github.com/pixiv/three-vrm"
"@pixiv/three-vrm-materials-v0compat@3.4.4","MIT","https://github.com/pixiv/three-vrm"
"@pixiv/three-vrm-node-constraint@3.4.4","MIT","https://github.com/pixiv/three-vrm"
"@pixiv/three-vrm-springbone@3.4.4","MIT","https://github.com/pixiv/three-vrm"
"@pixiv/three-vrm@3.4.4","MIT","https://github.com/pixiv/three-vrm"
"@pixiv/types-vrm-0.0@3.4.4","MIT","https://github.com/pixiv/three-vrm"
"@pixiv/types-vrmc-materials-hdr-emissive-multiplier-1.0@3.4.4","MIT","https://github.com/pixiv/three-vrm"
"@pixiv/types-vrmc-materials-mtoon-1.0@3.4.4","MIT","https://github.com/pixiv/three-vrm"
"@pixiv/types-vrmc-node-constraint-1.0@3.4.4","MIT","https://github.com/pixiv/three-vrm"
"@pixiv/types-vrmc-springbone-1.0@3.4.4","MIT","https://github.com/pixiv/three-vrm"
"@pixiv/types-vrmc-springbone-extended-collider-1.0@3.4.4","MIT","https://github.com/pixiv/three-vrm"
"@pixiv/types-vrmc-vrm-1.0@2.0.3","MIT",""
"@pixiv/types-vrmc-vrm-1.0@3.4.4","MIT","https://github.com/pixiv/three-vrm"
"@pixiv/types-vrmc-vrm-animation-1.0@3.4.4","MIT","https://github.com/pixiv/three-vrm"
"@serialport/binding-mock@10.2.2","MIT","https://github.com/serialport/binding-mock"
"@serialport/bindings-cpp@12.0.1","MIT","https://github.com/serialport/bindings-cpp"
"@serialport/bindings-interface@1.2.2","MIT","https://github.com/serialport/bindings-interface"
"@serialport/parser-byte-length@12.0.0","MIT","https://github.com/serialport/node-serialport"
"@serialport/parser-cctalk@12.0.0","MIT","https://github.com/serialport/node-serialport"
"@serialport/parser-delimiter@11.0.0","MIT","https://github.com/serialport/node-serialport"
"@serialport/parser-delimiter@12.0.0","MIT","https://github.com/serialport/node-serialport"
"@serialport/parser-inter-byte-timeout@12.0.0","MIT","https://github.com/serialport/node-serialport"
"@serialport/parser-packet-length@12.0.0","MIT","https://github.com/serialport/node-serialport"
"@serialport/parser-readline@11.0.0","MIT","https://github.com/serialport/node-serialport"
"@serialport/parser-readline@12.0.0","MIT","https://github.com/serialport/node-serialport"
"@serialport/parser-ready@12.0.0","MIT","https://github.com/serialport/node-serialport"
"@serialport/parser-regex@12.0.0","MIT","https://github.com/serialport/node-serialport"
"@serialport/parser-slip-encoder@12.0.0","MIT","https://github.com/serialport/node-serialport"
"@serialport/parser-spacepacket@12.0.0","MIT","https://github.com/serialport/node-serialport"
"@serialport/stream@12.0.0","MIT","https://github.com/serialport/node-serialport"
"@sindresorhus/is@4.6.0","MIT","https://github.com/sindresorhus/is"
"@sparkjsdev/spark@0.1.10","MIT","https://github.com/sparkjs-dev/spark"
"@sxzz/popperjs-es@2.11.7","MIT","https://github.com/popperjs/popper-core"
"@szmarczak/http-timer@4.0.6","MIT","https://github.com/szmarczak/http-timer"
"@types/cacheable-request@6.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/http-cache-semantics@4.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/keyv@3.1.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/lodash-es@4.17.12","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/lodash@4.17.20","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
